url,name,image_url,manufacture_date,description
http://www.datamath.org/BASIC/DATAMATH/TI-2500-II.htm,DATAMATH,http://www.datamath.org/BANNER/pdf.gif,year 1975,"The
Datamath II alias TI-2500-II is a quite funny calculator. It uses the modern
electronics of the stylish  TI-1500 calculator in the old-fashioned 
Datamath
housing. It was introduced late and n..."
http://www.datamath.org/BASIC/LED_Classic/TI-1200.htm,DATAMATH,http://www.datamath.org/BASIC/LED_Classic/Images/TI-1700Q.jpg,year 1978,"With
the TI-1700 DATACLIP Texas Instruments started the production of LCD calculators
only two month after the introduction of the Japanese TI-1750."
http://www.datamath.org/BASIC/LED_Classic/TI-1250.htm,DATAMATH,http://www.datamath.org/BANNER/pdf.gif,April 1977,"With
the TI-1750 Texas Instruments entered 1977 the market of LCD-calculators. Due to
their high manufacturing costs in the beginning of the epoch, TI introduced the
LED calculator TI-1000 as cheap..."
http://www.datamath.org/BASIC/LCD_Classic/TI-1030.htm,ZOOM,http://www.datamath.org/BASIC/LCD_Classic/images/TI-1030.jpg,year 1981,"The
TI-1030 was the first US-built slimline calculator from Texas Instruments. It used
a low-power CMOS integrated circuit manufactured by TI instead the Toshiba
circuit in the previous TI-1750. A..."
http://www.datamath.org/BASIC/LCD_Classic/TI-1750.htm,DATAMATH,http://www.datamath.org/BANNER/pdf.gif,April 1977,"With
the TI-1750 Texas Instruments entered 1977 the market of LCD-calculators. Due to
their high manufacturing costs in the beginning of the epoch, TI introduced the
LED calculator TI-1000 as cheap..."
http://www.datamath.org/BASIC/Exactra/Exactra20.htm,DATAMATH,http://www.datamath.org/BANNER/pdf.gif,yr 1974,"Texas 
Instruments introduced early in 1974 the Exactra line of calculators with the 
handheld models Exactra 20, Exactra
21, Exactra 22 and Exactra
23. The line was complemented with one desktop ..."
http://www.datamath.org/BASIC/Exactra/Exactra21.htm,DATAMATH,http://www.datamath.org/BASIC/Exactra/IMAGES/Exactra21.jpg,July 1974,"The
Exactra 21 with it's brown keyplate uses a 8-digit display and similar
electronics to the  TI-1500 and  TI-2500-II calculators. All three were available
in the same period, this gives you an id..."
http://www.datamath.org/BASIC/LCD_Modern/TI-108.htm,DATAMATH,http://www.datamath.org/BASIC/LCD_Modern/Images/TI-108_I0888A.jpg,1988,"The
second generation TI-108 looks completely
different to its predecessor, please focus on the position of the solar cells
and the size of the display frame. Actually the calculator is around 0.2""..."
http://www.datamath.org/BASIC/LCD_Modern/TI-1726.htm,DATAMATH,http://www.datamath.org/BASIC/LCD_Modern/Images/TI-1726.jpg,year 1998,"A
very basic calculator with solar cells and a memory. In 1999 most calculators
sold in Europa carried an Euro-conversion like the €-2001."
http://www.datamath.org/BASIC/LCD_Modern/TI-1784.htm,DATAMATH,http://www.datamath.org/BASIC/LCD_Modern/Images/TI-1784.jpg,1784,"The
TI-1784, introduced together with 4 other members of the TI CARD family
(TI-1783, TI-1785,  TI-1786 and TI-1787), weights less than 1 ounce! It follows
the TI-1780 calculator introduced about o..."
